task,binary,num_cus,metric,val1,val2
spmv,spmv,4,controlFlowDivergenceDist::stdev,19.052722,10.974078
spmv,spmv,4,globalWrites,4,4
spmv,spmv,4,controlFlowDivergenceDist::mean,33.496229,60.620462
spmv,spmv,4,globalReads,772,340
spmv,spmv,4,vALUInsts,3164,1436
spmv,spmv,4,coalsrLineAddresses::total,3104,1664
spmv,spmv,2,controlFlowDivergenceDist::stdev,19.051824,10.370069
spmv,spmv,2,globalWrites,8,8
spmv,spmv,2,controlFlowDivergenceDist::mean,33.496229,61.014577
spmv,spmv,2,globalReads,1544,776
spmv,spmv,2,vALUInsts,6328,3256
spmv,spmv,2,coalsrLineAddresses::total,3104,1664
spmv,spmv,8,controlFlowDivergenceDist::stdev,19.054518,12.576833
spmv,spmv,8,globalWrites,2,2
spmv,spmv,8,controlFlowDivergenceDist::mean,33.496229,59.408072
spmv,spmv,8,globalReads,386,122
spmv,spmv,8,vALUInsts,1582,526
spmv,spmv,8,coalsrLineAddresses::total,3104,1664
histogram,histogram_opt,2,ldsBankAccess,393216,
histogram,histogram_opt,2,totalCycles,227142,
histogram,histogram_opt,2,vpc,21.927851,
histogram,histogram_opt,2,loadLatencyDist::mean,799616.333008,
histogram,histogram_opt,2,vALUInsts,28672,
histogram,histogram_opt,8,ldsBankAccess,98304,
histogram,histogram_opt,8,totalCycles,174493,
histogram,histogram_opt,8,vpc,7.136011,
histogram,histogram_opt,8,loadLatencyDist::mean,4104117.919922,
histogram,histogram_opt,8,vALUInsts,7168,
histogram,histogram_opt,4,ldsBankAccess,196608,
histogram,histogram_opt,4,totalCycles,175938,
histogram,histogram_opt,4,vpc,14.154805,
histogram,histogram_opt,4,loadLatencyDist::mean,1658721.923828,
histogram,histogram_opt,4,vALUInsts,14336,
histogram,histogram_naive,4,ldsBankAccess,0,
histogram,histogram_naive,4,totalCycles,808687,
histogram,histogram_naive,4,vpc,1.944960,
histogram,histogram_naive,4,loadLatencyDist::mean,12398205.322266,
histogram,histogram_naive,4,vALUInsts,11264,
histogram,histogram_naive,2,ldsBankAccess,0,
histogram,histogram_naive,2,totalCycles,828458,
histogram,histogram_naive,2,vpc,3.797088,
histogram,histogram_naive,2,loadLatencyDist::mean,6193091.308594,
histogram,histogram_naive,2,vALUInsts,22528,
histogram,histogram_naive,8,ldsBankAccess,0,
histogram,histogram_naive,8,totalCycles,783717,
histogram,histogram_naive,8,vpc,1.003464,
histogram,histogram_naive,8,loadLatencyDist::mean,24180700.195312,
histogram,histogram_naive,8,vALUInsts,5632,
mat_transpose,mat_transpose,8,ldsBankAccess,0,66048
mat_transpose,mat_transpose,8,totalCycles,663934,313278
mat_transpose,mat_transpose,8,vpc,1.469062,5.586961
mat_transpose,mat_transpose,8,loadLatencyDist::mean,42141729.736328,12512509.277344
mat_transpose,mat_transpose,8,vALUInsts,9144,13416
mat_transpose,mat_transpose,2,ldsBankAccess,0,260096
mat_transpose,mat_transpose,2,totalCycles,527800,315418
mat_transpose,mat_transpose,2,vpc,7.420993,21.852095
mat_transpose,mat_transpose,2,loadLatencyDist::mean,8027456.542969,2491773.437500
mat_transpose,mat_transpose,2,vALUInsts,36720,52832
mat_transpose,mat_transpose,4,ldsBankAccess,0,133632
mat_transpose,mat_transpose,4,totalCycles,578652,318277
mat_transpose,mat_transpose,4,vpc,3.410962,11.126308
mat_transpose,mat_transpose,4,loadLatencyDist::mean,18955491.455078,5850951.416016
mat_transpose,mat_transpose,4,vALUInsts,18504,27144
